loudness,speechiness,acousticness,liveness,valence
-10.029,0.0312,0.000211,0.138,0.45
-8.627,0.171,0.0253,0.0698,0.525
-6.665,0.203,0.0267,0.197,0.375
-4.905,0.0297,0.103,0.147,0.206
-6.818,0.124,0.534,0.0784,0.64
-5.115,0.0707,0.00305,0.473,0.685
-5.373,0.129,0.168,0.133,0.904
-6.417,0.0553,0.285,0.0556,0.716
-6.255,0.334,0.00277,0.0532,0.768
-7.853,0.0867,0.00876,0.293,0.547
-8.399,0.0638,0.124,0.0546,0.695
-4.261,0.0582,0.00316,0.144,0.87
-9.053,0.203,0.187,0.0757,0.884
-5.941,0.16,0.0199,0.29,0.754
-3.944,0.0946,0.0901,0.229,0.866
-7.338,0.0594,0.0502,0.0914,0.679
-4.487,0.0319,0.0822,0.0467,0.701
-6.867,0.0318,0.0658,0.0674,0.408
-6.239,0.226,0.31,0.0847,0.86
-8.56,0.488,0.169,0.0783,0.849
-6.133,0.0329,0.0285,0.213,0.91
-6.981,0.0365,0.376,0.06,0.827
-6.26,0.0927,0.0839,0.413,0.65
-5.079,0.0373,0.000424,0.389,0.786
-3.07,0.0835,0.37,0.189,0.96
-5.431,0.0872,0.136,0.0288,0.646
-5.734,0.0325,0.538,0.216,0.51
-13.744,0.0301,0.841,0.112,0.213
-7.77,0.0306,0.513,0.127,0.17
-6.261,0.0633,0.0178,0.286,0.829
-4.386,0.275,0.00281,0.152,0.637
-5.081,0.0239,0.108,0.095,0.347
-4.209,0.216,0.0614,0.095,0.678
-5.218,0.0271,0.0148,0.105,0.789
-5.044,0.0598,0.0826,0.102,0.941
-6.854,0.0287,0.00284,0.0685,0.275
-3.011,0.0736,0.0174,0.128,0.73
-4.653,0.0413,0.0844,0.174,0.567
-4.086,0.311,0.0554,0.041,0.636
-3.782,0.206,0.362,0.169,0.927
-5.424,0.0493,0.124,0.148,0.764
-7.93,0.151,0.273,0.0718,0.554
-9.919,0.0499,0.342,0.0876,0.339
-11.072,0.241,0.0191,0.124,0.818
-8.106,0.0265,0.504,0.0919,0.199
-4.171,0.0491,0.00769,0.139,0.844
-4.719,0.247,0.035,0.0941,0.613
-9.487,0.026,0.315,0.09,0.631
-6.49,0.0478,0.0616,0.244,0.722
-5.961,0.122,0.0275,0.102,0.586
-5.047,0.0497,0.000233,0.0712,0.259
-4.051,0.342,0.0178,0.0634,0.697
-6.567,0.0452,0.503,0.106,0.496
-6.886,0.0349,0.0755,0.367,0.77
-4.507,0.0258,0.084,0.549,0.484
-4.054,0.0338,0.00189,0.143,0.0824
-7.08,0.0631,0.102,0.0651,0.761
-4.578,0.0558,0.318,0.311,0.423
-8.564,0.0614,0.421,0.126,0.5
-4.903,0.0349,0.000966,0.0812,0.502
-8.074,0.14,0.227,0.198,0.607
-2.827,0.0738,0.00286,0.237,0.662
-5.898,0.0459,0.0572,0.3,0.427
-3.862,0.0379,0.323,0.161,0.268
-5.113,0.0267,0.0367,0.115,0.371
-5.328,0.0415,0.691,0.104,0.362
-4.822,0.0684,0.232,0.391,0.839
-6.591,0.147,0.0737,0.187,0.367
-4.315,0.306,0.0142,0.648,0.518
-3.237,0.186,0.0622,0.0816,0.1
-7.392,0.483,0.421,0.0308,0.779
-3.399,0.127,0.0934,0.099,0.825
-5.166,0.0901,0.062,0.0896,0.491
-4.382,0.265,0.106,0.271,0.774
-7.486,0.355,0.171,0.0395,0.7
-5.87,0.0584,0.00958,0.209,0.4
-6.777,0.0948,0.0193,0.0924,0.868
-5.209,0.0336,0.0688,0.193,0.418
